Genero_Usuario,Idade_Usuario,Veiculo,Loja_Aluguel,Data_Aluguel,Hora_Aluguel,Loja_Devolucao,Data_Devolucao,Hora_Devolucao
M,44,4357,442,01/02/2020,0:00:38,116,01/02/2020,0:35:17
M,22,12083,66,01/02/2020,0:00:53,37,01/02/2020,0:06:23
M,29,11562,331,01/02/2020,0:00:55,341,01/02/2020,0:26:47
M,27,10206,164,01/02/2020,0:01:18,35,01/02/2020,0:16:51
M,27,10101,120,01/02/2020,0:01:18,47,01/02/2020,0:12:39
M,26,8458,69,01/02/2020,0:01:30,127,01/02/2020,0:13:03
M,25,9684,20,01/02/2020,0:01:54,125,01/02/2020,0:06:26
M,29,7251,359,01/02/2020,0:01:59,356,01/02/2020,0:06:59
F,31,7425,43,01/02/2020,0:03:05,43,01/02/2020,0:33:21
F,44,6922,43,01/02/2020,0:03:51,263,01/02/2020,0:25:18
M,38,11311,342,01/02/2020,0:03:51,99,01/02/2020,0:27:41
M,61,11405,239,01/02/2020,0:04:19,82,01/02/2020,0:37:45
M,19,11166,24,01/02/2020,0:04:54,143,01/02/2020,0:27:43
M,25,12077,27,01/02/2020,0:05:21,450,01/02/2020,0:13:50
M,28,7689,271,01/02/2020,0:05:26,1,01/02/2020,0:19:35
M,28,11859,118,01/02/2020,0:06:06,34,01/02/2020,0:08:50
M,42,8999,62,01/02/2020,0:06:09,62,01/02/2020,0:12:24
M,30,8535,165,01/02/2020,0:06:49,47,01/02/2020,0:16:31
M,36,11039,168,01/02/2020,0:07:03,297,01/02/2020,0:15:56
M,44,5000,25,01/02/2020,0:07:40,47,01/02/2020,0:13:34
F,25,12249,43,01/02/2020,0:08:02,98,01/02/2020,0:12:17
M,28,11987,295,01/02/2020,0:09:02,321,01/02/2020,0:13:17
M,24,8942,208,01/02/2020,0:09:19,452,01/02/2020,0:15:22
M,36,8244,147,01/02/2020,0:09:42,146,01/02/2020,0:13:40
M,28,7684,146,01/02/2020,0:10:07,83,01/02/2020,0:17:40
M,28,7181,412,01/02/2020,0:10:47,404,01/02/2020,0:20:31
M,37,7145,64,01/02/2020,0:10:47,34,01/02/2020,0:20:50
M,37,11667,324,01/02/2020,0:10:57,404,01/02/2020,0:23:14
M,50,9230,248,01/02/2020,0:11:10,62,01/02/2020,0:23:36
M,25,4285,106,01/02/2020,0:11:11,65,01/02/2020,0:22:19
F,47,10935,158,01/02/2020,0:11:48,147,01/02/2020,0:15:21
M,28,12385,421,01/02/2020,0:12:13,414,01/02/2020,0:16:08
M,26,9781,32,01/02/2020,0:12:30,127,01/02/2020,0:20:16
M,32,12042,280,01/02/2020,0:14:01,338,01/02/2020,0:22:44
M,30,10366,172,01/02/2020,0:14:23,329,01/02/2020,0:22:00
M,52,6760,447,01/02/2020,0:14:49,447,01/02/2020,0:29:02
M,32,8624,134,01/02/2020,0:15:58,116,01/02/2020,0:21:52
M,23,10880,427,01/02/2020,0:16:12,433,01/02/2020,0:21:55
M,38,11993,63,01/02/2020,0:16:35,310,01/02/2020,0:29:14
M,37,8670,86,01/02/2020,0:16:41,112,01/02/2020,0:21:22
M,23,9872,306,01/02/2020,0:17:07,332,01/02/2020,0:26:59
M,40,10815,126,01/02/2020,0:17:44,141,01/02/2020,0:24:54
M,33,11913,183,01/02/2020,0:18:20,183,01/02/2020,0:21:46
M,30,9826,98,01/02/2020,0:18:38,262,01/02/2020,0:29:28
M,62,10892,53,01/02/2020,0:18:59,42,01/02/2020,0:25:10
F,33,9557,306,01/02/2020,0:19:31,333,01/02/2020,0:25:36
M,45,11331,259,01/02/2020,0:19:37,118,01/02/2020,0:27:24
F,23,8527,471,01/02/2020,0:19:38,471,01/02/2020,0:25:56
F,32,8306,306,01/02/2020,0:20:16,310,01/02/2020,0:27:04
M,39,9280,117,01/02/2020,0:20:28,174,01/02/2020,0:32:04
M,32,11445,146,01/02/2020,0:20:38,280,01/02/2020,0:28:00
F,33,3790,70,01/02/2020,0:20:45,158,01/02/2020,0:31:41
M,32,8004,392,01/02/2020,0:21:06,321,01/02/2020,0:34:37
M,31,7618,265,01/02/2020,0:21:06,25,01/02/2020,0:44:48
M,33,7144,336,01/02/2020,0:21:22,342,01/02/2020,0:32:38
M,34,7978,6,01/02/2020,0:21:30,73,01/02/2020,0:41:57
M,33,11981,255,01/02/2020,0:21:50,120,01/02/2020,0:29:44
F,42,12373,228,01/02/2020,0:21:57,476,01/02/2020,0:43:47
F,21,8533,36,01/02/2020,0:22:18,67,01/02/2020,0:29:32
M,49,9627,286,01/02/2020,0:22:26,295,01/02/2020,0:38:40
M,41,12490,81,01/02/2020,0:22:31,181,01/02/2020,0:26:24
M,35,10998,318,01/02/2020,0:22:44,293,01/02/2020,0:26:17
M,40,11425,116,01/02/2020,0:24:05,125,01/02/2020,0:37:38
M,44,7681,317,01/02/2020,0:24:17,182,01/02/2020,0:32:22
M,33,11289,216,01/02/2020,0:24:34,211,01/02/2020,0:27:47
M,27,9218,43,01/02/2020,0:25:10,124,01/02/2020,0:33:54
F,36,8587,151,01/02/2020,0:25:16,79,01/02/2020,0:34:05
M,24,8361,384,01/02/2020,0:25:35,366,01/02/2020,0:28:40
M,27,10887,64,01/02/2020,0:25:40,167,01/02/2020,0:37:37
M,31,7412,67,01/02/2020,0:26:01,174,01/02/2020,0:49:19
M,40,8654,158,01/02/2020,0:27:06,107,01/02/2020,0:43:37
M,39,1940,359,01/02/2020,0:27:38,138,01/02/2020,0:44:05
M,40,10832,147,01/02/2020,0:28:11,295,01/02/2020,0:34:33
M,37,11260,320,01/02/2020,0:28:17,277,01/02/2020,0:38:11
M,28,7758,83,01/02/2020,0:28:52,77,01/02/2020,0:32:47
M,38,7006,84,01/02/2020,0:29:04,61,01/02/2020,0:34:04
M,20,8034,255,01/02/2020,0:29:13,112,01/02/2020,0:34:00
M,38,11744,96,01/02/2020,0:29:42,295,01/02/2020,0:50:21
F,26,8321,134,01/02/2020,0:29:45,480,01/02/2020,1:39:33
M,47,12177,127,01/02/2020,0:29:48,146,01/02/2020,0:40:18
M,48,10424,173,01/02/2020,0:30:48,182,01/02/2020,0:33:53
M,45,8736,384,01/02/2020,0:31:09,371,01/02/2020,0:42:49
F,35,9070,384,01/02/2020,0:31:21,371,01/02/2020,0:43:20
M,24,8151,147,01/02/2020,0:31:44,153,01/02/2020,0:38:08
